Municipio;ibge;cep
BA_CAETITE;2905206;
BA_CAETITE_(BREJINHO_DAS_AMETISTAS);2905206;
BA_CAETITE_(CALDEIRAS);2905206;
BA_CAETITE_(MANIACU);2905206;
BA_CAETITE_(PAJEU_DO_VENTO);2905206;
BA_CAFARNAUM;2905305;
BA_CAFARNAUM_(CANAL);2905305;
BA_CAIRU;2905404;
BA_CAIRU_(GALEAO);2905404;
BA_CAIRU_(GAMBOA);2905404;
BA_CAIRU_(VELHA_BOIPEBA);2905404;
BA_CALDEIRAO_GRANDE;2905503;
BA_CAMACAN;2905602;
BA_CAMACAN_(SAO_JOAO_DO_PANELINHA);2905602;
BA_CAMACARI;2905701;
BA_CAMACARI_(ABRANTES);2905701;
BA_CAMACARI_(MONTE_GORDO);2905701;
BA_CAMAMU;2905800;
BA_CAMAMU_(BARCELOS_DO_SUL);2905800;
BA_CAMAMU_(TAPUIA);2905800;
BA_CAMPO_ALEGRE_DE_LOURDES;2905909;
BA_CAMPO_ALEGRE_DE_LOURDES_(PEIXE);2905909;
BA_CAMPO_FORMOSO;2906006;
BA_CAMPO_FORMOSO_(LAJE_DOS_NEGROS);2906006;
BA_CANAPOLIS;2906105;
BA_CANARANA;2906204;
BA_CANARANA_(PAZ_DE_SALOBRO);2906204;
BA_CANAVIEIRAS;2906303;
BA_CANAVIEIRAS_(OURICANA);2906303;
BA_CANAVIEIRAS_(POXIM_DO_SUL);2906303;
BA_CANDEAL;2906402;
BA_CANDEIAS;2906501;
BA_CANDEIAS_(CABOTO);2906501;
BA_CANDEIAS_(CAROBA);2906501;
BA_CANDEIAS_(MADEIRA);2906501;
BA_CANDEIAS_(MENINO_JESUS);2906501;
BA_CANDEIAS_(PASSAGEM_DOS_TEIXEIRAS);2906501;
BA_CANDEIAS_(PASSE);2906501;
BA_CANDIBA;2906600;
BA_CANDIBA_(PILOES);2906600;
BA_CANDIDO_SALES;2906709;
BA_CANDIDO_SALES_(LAGOA_GRANDE);2906709;
BA_CANDIDO_SALES_(QUARACU);2906709;
BA_CANSANCAO;2906808;
BA_CANUDOS;2906824;
BA_CANUDOS_(BEDENGO);2906824;
BA_CAPELA_DO_ALTO_ALEGRE;2906857;
BA_CAPIM_GROSSO;2906873;
BA_CARAIBAS;2906899;
BA_CARAIBAS_(VILA_MARIANA);2906899;
BA_CARAVELAS;2906907;
BA_CARAVELAS_(JUERANA);2906907;
BA_CARAVELAS_(PONTA_DA_AREIA);2906907;
BA_CARAVELAS_(SANTO_ANTONIO_DE_BARCELONA);2906907;
BA_CARDEAL_DA_SILVA;2907004;
BA_CARINHANHA;2907103;
BA_CARINHANHA_(BARRA_DA_PARATECA);2907103;
BA_CASA_NOVA_(BEM-BOM);2907202;
BA_CASA_NOVA;2907202;
BA_CASA_NOVA_(LUIS_VIANA);2907202;
BA_CASA_NOVA_(PAU_A_PIQUE);2907202;
BA_CASA_NOVA_(SOBRADO);2907202;
BA_CASTRO_ALVES;2907301;
BA_CASTRO_ALVES_(CRUSSAI);2907301;
BA_CASTRO_ALVES_(PETIM);2907301;
BA_CASTRO_ALVES_(SITIO_DO_MEIO);2907301;
BA_CATOLANDIA;2907400;
BA_CATU;2907509;
BA_CATU_(BELA_FLOR);2907509;
BA_CATU_(SITIO_NOVO);2907509;
BA_CATURAMA;2907558;
BA_CENTRAL;2907608;
BA_CHORROCHO;2907707;
BA_CICERO_DANTAS;2907806;
BA_CICERO_DANTAS_(SAO_JOAO_DA_FORTALEZA);2907806;
BA_CIPO;2907905;
BA_COARACI;2908002;
BA_COARACI_(ITAMOTINGA);2908002;
BA_COARACI_(SAO_ROQUE);2908002;
BA_COCOS;2908101;
BA_CONCEICAO_DA_FEIRA;2908200;
BA_CONCEICAO_DO_ALMEIDA_(COMERCIO);2908309;
BA_CONCEICAO_DO_ALMEIDA;2908309;
BA_CONCEICAO_DO_ALMEIDA_(RIO_DA_DONA);2908309;
BA_CONCEICAO_DO_COITE_(AROEIRA);2908408;
BA_CONCEICAO_DO_COITE_(BANDIACU);2908408;
BA_CONCEICAO_DO_COITE;2908408;
BA_CONCEICAO_DO_COITE_(JOAZEIRO);2908408;
BA_CONCEICAO_DO_COITE_(SALGADALIA);2908408;
